lang,lang_abv,commonName,simplifiedName,numFullNames,numLineNames
"Korean (한국어, 조선어)",ko,귤,귤,25,13
"Korean (한국어, 조선어)",ko,형광,형광,25,7
"Korean (한국어, 조선어)",ko,꽃분홍,꽃분홍,25,1
"Korean (한국어, 조선어)",ko,진파랑,진파랑,24,8
"Korean (한국어, 조선어)",ko,곤,곤,24,0
"Korean (한국어, 조선어)",ko,짙은분홍,짙은분홍,22,12
"Korean (한국어, 조선어)",ko,황록,황록,22,6
"Korean (한국어, 조선어)",ko,오렌지,오렌지,21,14
"Korean (한국어, 조선어)",ko,짙은 하늘,짙은하늘,21,11
"Korean (한국어, 조선어)",ko,밝은 초록,밝은초록,21,7
"Korean (한국어, 조선어)",ko,진한분홍,진한분홍,21,7
"Korean (한국어, 조선어)",ko,형광분홍,형광분홍,21,3
"Korean (한국어, 조선어)",ko,밝은 녹,밝은녹,20,5
"Korean (한국어, 조선어)",ko,진한 보라,진한보라,20,3
"Korean (한국어, 조선어)",ko,짙은 갈,짙은갈,20,0
"Korean (한국어, 조선어)",ko,국방,국방,20,0
"Korean (한국어, 조선어)",ko,밝은파랑,밝은파랑,19,16
"Korean (한국어, 조선어)",ko,감,감,19,3
"Korean (한국어, 조선어)",ko,짙은 연두,짙은연두,19,1
"Korean (한국어, 조선어)",ko,아이보리,아이보리,19,0
"Korean (한국어, 조선어)",ko,진달래,진달래,18,5
"Korean (한국어, 조선어)",ko,레몬,레몬,18,4
"Korean (한국어, 조선어)",ko,붉은,붉은,18,3
"Korean (한국어, 조선어)",ko,연한갈,연한갈,18,0
"Korean (한국어, 조선어)",ko,소라,소라,18,0
"Korean (한국어, 조선어)",ko,진갈,진갈,18,0
"Korean (한국어, 조선어)",ko,적,적,18,0
"Korean (한국어, 조선어)",ko,연주황,연주황,17,5
"Korean (한국어, 조선어)",ko,자두,자두,17,4
"Korean (한국어, 조선어)",ko,연한초록,연한초록,17,3
"Korean (한국어, 조선어)",ko,바이올렛,바이올렛,17,1
"Korean (한국어, 조선어)",ko,어두운 보라,어두운보라,17,0
"Korean (한국어, 조선어)",ko,연하늘,연하늘,16,8
"Korean (한국어, 조선어)",ko,연청록,연청록,16,2
"Korean (한국어, 조선어)",ko,버건디,버건디,16,0
"Korean (한국어, 조선어)",ko,검붉은,검붉은,16,0
"Korean (한국어, 조선어)",ko,코랄,코랄,16,0
"Korean (한국어, 조선어)",ko,짙은파랑,짙은파랑,15,9
"Korean (한국어, 조선어)",ko,주홍,주홍,15,9
"Korean (한국어, 조선어)",ko,진하늘,진하늘,15,7
"Korean (한국어, 조선어)",ko,형광핑크,형광핑크,15,4
"Korean (한국어, 조선어)",ko,밝은청록,밝은청록,15,3
"Korean (한국어, 조선어)",ko,황,황,15,3
"Korean (한국어, 조선어)",ko,연한 보라,연한보라,15,2
"Korean (한국어, 조선어)",ko,진한초록,진한초록,15,0
"Korean (한국어, 조선어)",ko,짙은 남,짙은남,15,0
"Korean (한국어, 조선어)",ko,연자주,연자주,15,0
"Korean (한국어, 조선어)",ko,회보라,회보라,15,0
"Korean (한국어, 조선어)",ko,탁한분홍,탁한분홍,15,0
"Korean (한국어, 조선어)",ko,적보라,적보라,15,0
"Korean (한국어, 조선어)",ko,탁한보라,탁한보라,15,0
"Korean (한국어, 조선어)",ko,인디핑크,인디핑크,14,0
"Korean (한국어, 조선어)",ko,올리브그린,올리브그린,14,0
"Korean (한국어, 조선어)",ko,짙은자주,짙은자주,14,0
"Korean (한국어, 조선어)",ko,라벤더,라벤더,13,2
"Korean (한국어, 조선어)",ko,옅은보라,옅은보라,13,1
"Korean (한국어, 조선어)",ko,연한연두,연한연두,13,1
"Korean (한국어, 조선어)",ko,연청,연청,13,1
"Korean (한국어, 조선어)",ko,네이비,네이비,13,1
"Korean (한국어, 조선어)",ko,연핑크,연핑크,13,0
"Korean (한국어, 조선어)",ko,진회,진회,13,0
"Korean (한국어, 조선어)",ko,진한연두,진한연두,12,10
"Korean (한국어, 조선어)",ko,진연두,진연두,12,4
"Korean (한국어, 조선어)",ko,선홍,선홍,12,1
"Korean (한국어, 조선어)",ko,회갈,회갈,12,0
"Korean (한국어, 조선어)",ko,짙은회,짙은회,12,0
"Korean (한국어, 조선어)",ko,황녹,황녹,12,0
"Korean (한국어, 조선어)",ko,녹두,녹두,12,0
"Korean (한국어, 조선어)",ko,짙은풀,짙은풀,12,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,紫,紫,315,73
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,绿,绿,315,58
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,蓝,蓝,255,139
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,深蓝,深蓝,144,69
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,深绿,深绿,134,2
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,粉,粉,129,31
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,草绿,草绿,120,37
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,棕,棕,120,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,红,红,102,71
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,深紫,深紫,101,6
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,浅绿,浅绿,98,16
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,紫红,紫红,92,26
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,土黄,土黄,89,29
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,天蓝,天蓝,86,79
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,青,青,85,35
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,黄绿,黄绿,84,34
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,黑,黑,82,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,浅紫,浅紫,76,5
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,黄,黄,74,76
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,蓝紫,蓝紫,74,9
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,蓝绿,蓝绿,72,27
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,橙,橙,68,48
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,粉红,粉红,63,23
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,粉紫,粉紫,62,19
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,墨绿,墨绿,61,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,灰,灰,59,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,亮绿,亮绿,58,17
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,青绿,青绿,51,22
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,灰绿,灰绿,50,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,褐,褐,46,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,浅蓝,浅蓝,43,34
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,玫红,玫红,42,31
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,灰蓝,灰蓝,42,2
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,淡紫,淡紫,41,5
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,肉,肉,40,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,淡绿,淡绿,38,8
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,荧光绿,荧光绿,36,19
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,深红,深红,35,2
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,桃紅,桃红,32,25
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,橘,橘,31,26
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,亮紫,亮紫,31,10
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,紫罗兰,紫罗蓝,29,6
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,咖啡,咖啡,29,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,品红,品红,28,8
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,深棕,深棕,28,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,深粉,深粉,26,9
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,灰紫,灰紫,26,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,暗紫,暗紫,24,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,淡蓝,淡蓝,23,30
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,藏青,藏青,23,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,湖蓝,湖蓝,22,15
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,靛蓝,靛蓝,22,8
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,砖红,砖红,22,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,蓝灰,蓝灰,21,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,洋红,洋红,20,4
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,橄榄绿,橄榄绿,20,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,翠绿,翠绿,19,10
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,暗绿,暗绿,19,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,酒红,酒红,19,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,青蓝,青蓝,18,10
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,靛,靛,18,4
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,暗红,暗红,18,1
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,浅棕,浅棕,18,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,军绿,军绿,17,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,大红,大红,16,21
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,红棕,红棕,16,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,宝蓝,宝蓝,15,14
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,橙红,橙红,15,9
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,水蓝,水蓝,15,5
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,棕黄,棕黄,15,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,棕绿,棕绿,15,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,亮蓝,亮蓝,14,14
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,橘红,橘红,13,20
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,亮粉,亮粉,13,5
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,藏蓝,藏蓝,13,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,土,土,13,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,海蓝,海蓝,12,11
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,浅黄,浅黄,12,3
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,嫩绿,嫩绿,12,3
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,米,米,12,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,棕红,棕红,12,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,紫黑,紫黑,12,0
Spanish (español),es,verde,verde,419,204
Spanish (español),es,azul,azul,287,316
Spanish (español),es,morado,morado,198,95
Spanish (español),es,rosa,rosa,190,109
Spanish (español),es,violeta,violeta,113,42
Spanish (español),es,rojo,rojo,107,149
Spanish (español),es,marrón,marron,91,0
Spanish (español),es,naranja,naranja,84,166
Spanish (español),es,lila,lila,82,18
Spanish (español),es,gris,gris,76,0
Spanish (español),es,amarillo,amarillo,75,157
Spanish (español),es,turquesa,turquesa,64,54
Spanish (español),es,fucsia,fucsia,63,94
Spanish (español),es,cafe,cafe,59,0
Spanish (español),es,celeste,celeste,54,70
Spanish (español),es,magenta,magenta,53,79
Spanish (español),es,verde oscuro,verdeoscuro,52,1
Spanish (español),es,azul marino,azulmarino,49,25
Spanish (español),es,verde claro,verdeclaro,48,25
Spanish (español),es,negro,negro,46,0
Spanish (español),es,púrpura,purpura,45,26
Spanish (español),es,azul oscuro,azuloscuro,44,25
Spanish (español),es,azul cielo,azulcielo,32,28
Spanish (español),es,verde limón,verdelimon,32,24
Spanish (español),es,ocre,ocre,25,5
Spanish (español),es,mostaza,mostaza,24,10
Spanish (español),es,beige,beige,23,1
Spanish (español),es,cian,cyan,22,53
Spanish (español),es,azul claro,azulclaro,22,47
Spanish (español),es,verde agua,verdeagua,22,19
Spanish (español),es,verde oliva,verdeoliva,22,1
Spanish (español),es,salmón,salmon,21,1
Spanish (español),es,azul eléctrico,azulelectrico,18,14
Spanish (español),es,verde lima,verdelima,18,14
Spanish (español),es,morado oscuro,moradooscuro,18,2
Spanish (español),es,marrón claro,marronclaro,18,0
Spanish (español),es,aguamarina,aguamarina,16,23
Spanish (español),es,azul rey,azulrey,16,21
Spanish (español),es,verde azulado,verdeazulado,16,5
Spanish (español),es,verde militar,verdemilitar,16,0
Spanish (español),es,lima,lima,14,12
Spanish (español),es,vino,vino,14,0
Spanish (español),es,lila oscuro,lilaoscuro,13,0
Spanish (español),es,rosado oscuro,rosaoscuro,12,11
Spanish (español),es,verde pastel,verdepastel,12,3
Spanish (español),es,piel,piel,12,0
Spanish (español),es,marrón oscuro,marronoscuro,12,0
Spanish (español),es,granate,granate,12,0
Spanish (español),es,morado claro,moradoclaro,12,0
German (Deutsch),de,grün,grun,230,178
German (Deutsch),de,blau,blau,220,298
German (Deutsch),de,lila,lila,183,145
German (Deutsch),de,rot,rot,120,172
German (Deutsch),de,braun,braun,120,0
German (Deutsch),de,pink,pink,117,178
German (Deutsch),de,violett,violett,115,29
German (Deutsch),de,türkis,turkis,112,139
German (Deutsch),de,hellgrün,hellgrun,106,84
German (Deutsch),de,dunkelgrün,dunkelgrun,98,0
German (Deutsch),de,orange,orange,89,208
German (Deutsch),de,dunkelblau,dunkelblau,86,67
German (Deutsch),de,rosa,rosa,86,32
German (Deutsch),de,hellblau,hellblau,73,127
German (Deutsch),de,gelb,gelb,56,136
German (Deutsch),de,schwarz,schwarz,48,0
German (Deutsch),de,beige,beige,44,1
German (Deutsch),de,grau,grau,42,0
German (Deutsch),de,neongrün,neongrun,40,36
German (Deutsch),de,ocker,ocker,39,7
German (Deutsch),de,grasgrün,grasgrun,38,8
German (Deutsch),de,magenta,magenta,37,57
German (Deutsch),de,rotbraun,rotbraun,30,0
German (Deutsch),de,dunkelbraun,dunkelbraun,30,0
German (Deutsch),de,flieder,flieder,29,5
German (Deutsch),de,hellbraun,hellbraun,28,2
German (Deutsch),de,gelbgrün,gelbgrun,26,18
German (Deutsch),de,dunkellila,dunkellila,26,4
German (Deutsch),de,dunkelrot,dunkelrot,26,4
German (Deutsch),de,himmelblau,himmelblau,23,37
German (Deutsch),de,olivgrün,olivgrun,21,0
German (Deutsch),de,petrol,petrol,21,0
German (Deutsch),de,graugrün,graugrun,19,0
German (Deutsch),de,altrosa,altrosa,18,0
German (Deutsch),de,dunkelviolett,dunkelviolett,18,0
German (Deutsch),de,weinrot,weinrot,18,0
German (Deutsch),de,königsblau,konigsblau,16,19
German (Deutsch),de,giftgrün,giftgrun,15,16
German (Deutsch),de,blassgrün,blassgrun,15,4
German (Deutsch),de,purpur,purpur,15,4
German (Deutsch),de,waldgrün,waldgrun,15,0
German (Deutsch),de,blaugrün,blaugrun,14,5
German (Deutsch),de,helllila,helllila,14,4
German (Deutsch),de,violet,violet,13,9
German (Deutsch),de,blaugrau,blaugrau,13,1
German (Deutsch),de,lavendel,lavendel,13,1
German (Deutsch),de,graublau,graublau,12,0
German (Deutsch),de,hautfarben,hautfarben,12,0
German (Deutsch),de,graubraun,graubraun,12,0
"French (français, langue française)",fr,vert,vert,274,210
"French (français, langue française)",fr,bleu,bleu,204,300
"French (français, langue française)",fr,violet,violet,186,129
"French (français, langue française)",fr,rose,rose,143,110
"French (français, langue française)",fr,marron,marron,88,1
"French (français, langue française)",fr,rouge,rouge,80,131
"French (français, langue française)",fr,mauve,mauve,69,34
"French (français, langue française)",fr,orange,orange,65,165
"French (français, langue française)",fr,turquoise,turquoise,58,61
"French (français, langue française)",fr,jaune,jaune,56,132
"French (français, langue française)",fr,vert foncé,vertfonce,49,1
"French (français, langue française)",fr,bleu marine,bleumarine,45,36
"French (français, langue française)",fr,vert clair,vertclair,43,22
"French (français, langue française)",fr,bleu ciel,bleuciel,41,52
"French (français, langue française)",fr,brun,brun,37,0
"French (français, langue française)",fr,kaki,kaki,36,2
"French (français, langue française)",fr,fushia,fuchsia,34,61
"French (français, langue française)",fr,noir,noir,34,0
"French (français, langue française)",fr,beige,beige,33,3
"French (français, langue française)",fr,gris,gris,33,0
"French (français, langue française)",fr,vert fluo,vertfluo,31,17
"French (français, langue française)",fr,magenta,magenta,28,44
"French (français, langue française)",fr,bordeaux,bordeaux,28,0
"French (français, langue française)",fr,vert pomme,vertpomme,24,23
"French (français, langue française)",fr,bleu clair,bleuclair,22,38
"French (français, langue française)",fr,bleu foncé,bleufonce,22,19
"French (français, langue française)",fr,cyan,cyan,21,36
"French (français, langue française)",fr,violet foncé,violetfonce,21,3
"French (français, langue française)",fr,bleu roi,bleuroi,20,15
"French (français, langue française)",fr,indigo,indigo,20,11
"French (français, langue française)",fr,pourpre,pourpre,20,10
"French (français, langue française)",fr,lavande,lavande,19,0
"French (français, langue française)",fr,saumon,saumon,19,0
"French (français, langue française)",fr,ocre,ocre,16,5
"French (français, langue française)",fr,jaune moutarde,jaunemoutarde,15,5
"French (français, langue française)",fr,bleu nuit,bleunuit,15,2
"French (français, langue française)",fr,bleu gris,bleugris,15,0
"French (français, langue française)",fr,vert d'eau,vertd'eau,14,16
"French (français, langue française)",fr,vert pale,vertpale,14,6
"French (français, langue française)",fr,prune,prune,14,0
"French (français, langue française)",fr,taupe,taupe,13,0
"French (français, langue française)",fr,vert forêt,vertforet,13,0
"French (français, langue française)",fr,bleu turquoise,bleuturquoise,12,14
"French (français, langue française)",fr,vert kaki,vertkaki,12,0
"French (français, langue française)",fr,vert sapin,vertsapin,12,0
Persian (Farsi) (فارسی),fa,سبز,سبز,344,77
Persian (Farsi) (فارسی),fa,بنفش,بنفش,262,78
Persian (Farsi) (فارسی),fa,آبی,ابی,174,115
Persian (Farsi) (فارسی),fa,قرمز,قرمز,109,72
Persian (Farsi) (فارسی),fa,صورتی,صورتی,107,51
Persian (Farsi) (فارسی),fa,قهوه ای,قهوهای,94,0
Persian (Farsi) (فارسی),fa,نارنجی,نارنجی,64,62
Persian (Farsi) (فارسی),fa,زرد,زرد,46,50
Persian (Farsi) (فارسی),fa,سبز لجنی,سبزلجنی,41,2
Persian (Farsi) (فارسی),fa,سبز چمنی,سبزچمنی,39,6
Persian (Farsi) (فارسی),fa,خردلی,خردلی,38,13
Persian (Farsi) (فارسی),fa,سبز آبی,سبزابی,36,17
Persian (Farsi) (فارسی),fa,سرخابی,سرخابی,35,27
Persian (Farsi) (فارسی),fa,آبی نفتی,ابینفتی,34,17
Persian (Farsi) (فارسی),fa,سبز روشن,سبزروشن,33,18
Persian (Farsi) (فارسی),fa,فیروزه ای,فیروزهای,32,8
Persian (Farsi) (فارسی),fa,سبز فسفری,سبزفسفری,31,22
Persian (Farsi) (فارسی),fa,گلبهی,گلبهی,31,4
Persian (Farsi) (فارسی),fa,سبز تیره,سبزتیره,31,0
Persian (Farsi) (فارسی),fa,سرمه ای,سرمهای,29,1
Persian (Farsi) (فارسی),fa,آبی آسمانی,ابیاسمانی,27,30
Persian (Farsi) (فارسی),fa,زرشکی,زرشکی,27,3
Persian (Farsi) (فارسی),fa,آجری,اجری,26,4
Persian (Farsi) (فارسی),fa,آبی تیره,ابیتیره,24,12
Persian (Farsi) (فارسی),fa,سبز پسته ای,سبزپستهای,24,4
Persian (Farsi) (فارسی),fa,فسفری,فسفری,22,10
Persian (Farsi) (فارسی),fa,سورمه ای,سورمهای,22,2
Persian (Farsi) (فارسی),fa,خاکستری,خاکستری,21,0
Persian (Farsi) (فارسی),fa,ارغوانی,ارغوانی,20,3
Persian (Farsi) (فارسی),fa,بنفش تیره,بنفشتیره,20,1
Persian (Farsi) (فارسی),fa,یاسی,یاسی,20,1
Persian (Farsi) (فارسی),fa,یشمی,یشمی,20,1
Persian (Farsi) (فارسی),fa,کرم,کرم,20,0
Persian (Farsi) (فارسی),fa,طوسی,طوسی,19,0
Persian (Farsi) (فارسی),fa,سبز کم رنگ,سبزکمرنگ,18,6
Persian (Farsi) (فارسی),fa,بنفش روشن,بنفشروشن,18,2
Persian (Farsi) (فارسی),fa,نیلی,نیلی,17,4
Persian (Farsi) (فارسی),fa,آبی کاربنی,ابیکاربنی,15,10
Persian (Farsi) (فارسی),fa,آبی فیروزه ای,ابیفیروزهای,14,10
Persian (Farsi) (فارسی),fa,سبز پررنگ,سبزپررنگ,13,1
Persian (Farsi) (فارسی),fa,آبی روشن,ابیروشن,12,20
Persian (Farsi) (فارسی),fa,بادمجانی,بادمجانی,12,1
Persian (Farsi) (فارسی),fa,سبز یشمی,سبزیشمی,12,1
Persian (Farsi) (فارسی),fa,سیاه,سیاه,12,0
Russian (Русский),ru,зеленый,зеленыи,121,64
Russian (Русский),ru,синий,синии,86,124
Russian (Русский),ru,фиолетовый,фиолетовыи,84,54
Russian (Русский),ru,коричневый,коричневыи,69,0
Russian (Русский),ru,розовый,розовыи,61,63
Russian (Русский),ru,голубой,голубои,53,109
Russian (Русский),ru,красный,красныи,46,68
Russian (Русский),ru,желтый,желтыи,36,72
Russian (Русский),ru,оранжевый,оранжевыи,33,76
Russian (Русский),ru,салатовый,салатовыи,33,41
Russian (Русский),ru,пурпурный,пурпурныи,31,15
Russian (Русский),ru,бирюзовый,бирюзовыи,30,45
Russian (Русский),ru,сиреневый,сиреневыи,29,17
Russian (Русский),ru,темно зеленый,темнозеленыи,29,2
Russian (Русский),ru,темно синий,темносинии,28,20
Russian (Русский),ru,светло зеленый,светлозеленыи,24,13
Russian (Русский),ru,серый,серыи,24,0
Russian (Русский),ru,фуксия,фуксия,22,22
Russian (Русский),ru,черный,черныи,20,0
Russian (Русский),ru,бежевый,бежевыи,19,0
Russian (Русский),ru,мятный,мятныи,18,11
Russian (Русский),ru,оливковый,оливковыи,18,1
Russian (Русский),ru,лиловый,лиловыи,15,4
Russian (Русский),ru,темно фиолетовый,темнофиолетовыи,15,4
Russian (Русский),ru,малиновый,малиновыи,14,25
Russian (Русский),ru,бордовый,бордовыи,12,2
Russian (Русский),ru,серо зелёный,серозеленыи,12,0
Portuguese (português),pt,verde,verde,154,128
Portuguese (português),pt,azul,azul,134,223
Portuguese (português),pt,roxo,roxo,102,64
Portuguese (português),pt,rosa,rosa,74,101
Portuguese (português),pt,marrom,marrom,50,0
Portuguese (português),pt,lilás,lilas,46,6
Portuguese (português),pt,laranja,laranja,39,100
Portuguese (português),pt,vermelho,vermelho,37,76
Portuguese (português),pt,amarelo,amarelo,34,96
Portuguese (português),pt,verde claro,verdeclaro,34,31
Portuguese (português),pt,azul escuro,azulescuro,30,34
Portuguese (português),pt,cinza,cinza,25,0
Portuguese (português),pt,vinho,vinho,23,0
Portuguese (português),pt,verde escuro,verdeescuro,23,0
Portuguese (português),pt,azul marinho,azulmarinho,21,15
Portuguese (português),pt,bege,bege,21,1
Portuguese (português),pt,azul claro,azulclaro,20,60
Portuguese (português),pt,verde água,verdeagua,20,28
Portuguese (português),pt,magenta,magenta,20,25
Portuguese (português),pt,verde musgo,verdemusgo,18,0
Portuguese (português),pt,preto,preto,17,0
Portuguese (português),pt,violeta,violeta,16,17
Portuguese (português),pt,ciano,ciano,14,30
Portuguese (português),pt,verde limão,verdelimao,14,23
Portuguese (português),pt,rosa choque,rosachoque,13,26
Portuguese (português),pt,azul bebê,azulbebe,13,7
"Dutch (Nederlands, Vlaams)",nl,groen,groen,120,75
"Dutch (Nederlands, Vlaams)",nl,blauw,blauw,100,111
"Dutch (Nederlands, Vlaams)",nl,paars,paars,94,59
"Dutch (Nederlands, Vlaams)",nl,bruin,bruin,52,0
"Dutch (Nederlands, Vlaams)",nl,roze,roze,51,38
"Dutch (Nederlands, Vlaams)",nl,oranje,oranje,36,58
"Dutch (Nederlands, Vlaams)",nl,rood,rood,34,52
"Dutch (Nederlands, Vlaams)",nl,donkerblauw,donkerblauw,31,25
"Dutch (Nederlands, Vlaams)",nl,lichtblauw,lichtblauw,30,30
"Dutch (Nederlands, Vlaams)",nl,lichtgroen,lichtgroen,26,16
"Dutch (Nederlands, Vlaams)",nl,donkergroen,donkergroen,24,0
"Dutch (Nederlands, Vlaams)",nl,geel,geel,21,33
"Dutch (Nederlands, Vlaams)",nl,donkerpaars,donkerpaars,20,3
"Dutch (Nederlands, Vlaams)",nl,lila,lila,19,3
"Dutch (Nederlands, Vlaams)",nl,zwart,zwart,17,0
"Dutch (Nederlands, Vlaams)",nl,grijs,grijs,15,0
"Dutch (Nederlands, Vlaams)",nl,beige,beige,14,0
"Dutch (Nederlands, Vlaams)",nl,turquoise,turquoise,13,17
"Dutch (Nederlands, Vlaams)",nl,magenta,magenta,13,13
Swedish (svenska),sv,grön,gron,63,160
Swedish (svenska),sv,lila,lila,54,108
Swedish (svenska),sv,blå,bla,53,243
Swedish (svenska),sv,rosa,rosa,31,99
Swedish (svenska),sv,brun,brun,30,2
Swedish (svenska),sv,turkos,turkos,27,90
Swedish (svenska),sv,ljusgrön,ljusgron,26,12
Swedish (svenska),sv,mörkblå,morkbla,23,41
Swedish (svenska),sv,gul,gul,22,102
Swedish (svenska),sv,röd,rod,21,121
Swedish (svenska),sv,limegrön,limegron,21,24
Swedish (svenska),sv,ljusblå,ljusbla,20,58
Swedish (svenska),sv,orange,orange,19,109
Swedish (svenska),sv,mörklila,morklila,16,5
Swedish (svenska),sv,mörkgrön,morkgron,15,2
Swedish (svenska),sv,svart,svart,15,0
Swedish (svenska),sv,mintgrön,mintgron,12,8
"Polish (język polski, polszczyzna)",pl,zielony,zielony,131,150
"Polish (język polski, polszczyzna)",pl,niebieski,niebieski,103,217
"Polish (język polski, polszczyzna)",pl,fioletowy,fioletowy,95,83
"Polish (język polski, polszczyzna)",pl,różowy,rozowy,59,113
"Polish (język polski, polszczyzna)",pl,czerwony,czerwony,40,92
"Polish (język polski, polszczyzna)",pl,brązowy,brazowy,37,0
"Polish (język polski, polszczyzna)",pl,pomarańczowy,pomaranczowy,33,110
"Polish (język polski, polszczyzna)",pl,granatowy,granatowy,30,17
"Polish (język polski, polszczyzna)",pl,żółty,zołty,25,91
"Polish (język polski, polszczyzna)",pl,szary,szary,20,0
"Polish (język polski, polszczyzna)",pl,ciemnozielony,ciemnozielony,20,0
"Polish (język polski, polszczyzna)",pl,czarny,czarny,18,0
"Polish (język polski, polszczyzna)",pl,turkusowy,turkusowy,16,38
"Polish (język polski, polszczyzna)",pl,jasnozielony,jasnozielony,14,21
"Polish (język polski, polszczyzna)",pl,seledynowy,seledynowy,12,19
"Polish (język polski, polszczyzna)",pl,bordowy,bordowy,12,0
"Finnish (suomi, suomen kieli)",fi,vihreä,vihrea,42,63
"Finnish (suomi, suomen kieli)",fi,sininen,sininen,41,110
"Finnish (suomi, suomen kieli)",fi,violetti,violetti,25,46
